image_path,ref_mask_path,gt_path,feature_path,lat,lon
${DATASET_ROOT}/Cityscapes_foggy/leftImg8bit_foggy/train/aachen/aachen_000000_000019_leftImg8bit_foggy_beta_0.005.png,${DATASET_ROOT}/Cityscapes/GT/gtFine/train/aachen/aachen_000000_000019_gtFine_color.png,${DATASET_ROOT}/Cityscapes/GT/gtFine/train/aachen/aachen_000000_000019_gtFine_labelTrainIds.png,${REPO_ROOT}/Datasets/features_train_all/aachen_000000_000019_leftImg8bit_foggy_beta_0.005.pt,50.780881831805594,6.108147476339736
${DATASET_ROOT}/Cityscapes_foggy/leftImg8bit_foggy/train/aachen/aachen_000000_000019_leftImg8bit_foggy_beta_0.01.png,${DATASET_ROOT}/Cityscapes/GT/gtFine/train/aachen/aachen_000000_000019_gtFine_color.png,${DATASET_ROOT}/Cityscapes/GT/gtFine/train/aachen/aachen_000000_000019_gtFine_labelTrainIds.png,${REPO_ROOT}/Datasets/features_train_all/aachen_000000_000019_leftImg8bit_foggy_beta_0.01.pt,50.780881831805594,6.108147476339736
${DATASET_ROOT}/Cityscapes_foggy/leftImg8bit_foggy/train/aachen/aachen_000000_000019_leftImg8bit_foggy_beta_0.02.png,${DATASET_ROOT}/Cityscapes/GT/gtFine/train/aachen/aachen_000000_000019_gtFine_color.png,${DATASET_ROOT}/Cityscapes/GT/gtFine/train/aachen/aachen_000000_000019_gtFine_labelTrainIds.png,${REPO_ROOT}/Datasets/features_train_all/aachen_000000_000019_leftImg8bit_foggy_beta_0.02.pt,50.780881831805594,6.108147476339736
${DATASET_ROOT}/Cityscapes_foggy/leftImg8bit_foggy/train/aachen/aachen_000001_000019_leftImg8bit_foggy_beta_0.005.png,${DATASET_ROOT}/Cityscapes/GT/gtFine/train/aachen/aachen_000001_000019_gtFine_color.png,${DATASET_ROOT}/Cityscapes/GT/gtFine/train/aachen/aachen_000001_000019_gtFine_labelTrainIds.png,${REPO_ROOT}/Datasets/features_train_all/aachen_000001_000019_leftImg8bit_foggy_beta_0.005.pt,50.78008379080431,6.1055894033097555
${DATASET_ROOT}/Cityscapes_foggy/leftImg8bit_foggy/train/aachen/aachen_000001_000019_leftImg8bit_foggy_beta_0.01.png,${DATASET_ROOT}/Cityscapes/GT/gtFine/train/aachen/aachen_000001_000019_gtFine_color.png,${DATASET_ROOT}/Cityscapes/GT/gtFine/train/aachen/aachen_000001_000019_gtFine_labelTrainIds.png,${REPO_ROOT}/Datasets/features_train_all/aachen_000001_000019_leftImg8bit_foggy_beta_0.01.pt,50.78008379080431,6.1055894033097555
${DATASET_ROOT}/Cityscapes_foggy/leftImg8bit_foggy/train/aachen/aachen_000001_000019_leftImg8bit_foggy_beta_0.02.png,${DATASET_ROOT}/Cityscapes/GT/gtFine/train/aachen/aachen_000001_000019_gtFine_color.png,${DATASET_ROOT}/Cityscapes/GT/gtFine/train/aachen/aachen_000001_000019_gtFine_labelTrainIds.png,${REPO_ROOT}/Datasets/features_train_all/aachen_000001_000019_leftImg8bit_foggy_beta_0.02.pt,50.78008379080431,6.1055894033097555
${DATASET_ROOT}/Cityscapes_foggy/leftImg8bit_foggy/train/aachen/aachen_000002_000019_leftImg8bit_foggy_beta_0.005.png,${DATASET_ROOT}/Cityscapes/GT/gtFine/train/aachen/aachen_000002_000019_gtFine_color.png,${DATASET_ROOT}/Cityscapes/GT/gtFine/train/aachen/aachen_000002_000019_gtFine_labelTrainIds.png,${REPO_ROOT}/Datasets/features_train_all/aachen_000002_000019_leftImg8bit_foggy_beta_0.005.pt,50.779928222681384,6.103127470709217
${DATASET_ROOT}/Cityscapes_foggy/leftImg8bit_foggy/train/aachen/aachen_000002_000019_leftImg8bit_foggy_beta_0.01.png,${DATASET_ROOT}/Cityscapes/GT/gtFine/train/aachen/aachen_000002_000019_gtFine_color.png,${DATASET_ROOT}/Cityscapes/GT/gtFine/train/aachen/aachen_000002_000019_gtFine_labelTrainIds.png,${REPO_ROOT}/Datasets/features_train_all/aachen_000002_000019_leftImg8bit_foggy_beta_0.01.pt,50.779928222681384,6.103127470709217
${DATASET_ROOT}/Cityscapes_foggy/leftImg8bit_foggy/train/aachen/aachen_000002_000019_leftImg8bit_foggy_beta_0.02.png,${DATASET_ROOT}/Cityscapes/GT/gtFine/train/aachen/aachen_000002_000019_gtFine_color.png,${DATASET_ROOT}/Cityscapes/GT/gtFine/train/aachen/aachen_000002_000019_gtFine_labelTrainIds.png,${REPO_ROOT}/Datasets/features_train_all/aachen_000002_000019_leftImg8bit_foggy_beta_0.02.pt,50.779928222681384,6.103127470709217
${DATASET_ROOT}/Cityscapes_foggy/leftImg8bit_foggy/train/aachen/aachen_000003_000019_leftImg8bit_foggy_beta_0.005.png,${DATASET_ROOT}/Cityscapes/GT/gtFine/train/aachen/aachen_000003_000019_gtFine_color.png,${DATASET_ROOT}/Cityscapes/GT/gtFine/train/aachen/aachen_000003_000019_gtFine_labelTrainIds.png,${REPO_ROOT}/Datasets/features_train_all/aachen_000003_000019_leftImg8bit_foggy_beta_0.005.pt,50.77998815328909,6.1007674620512455
${DATASET_ROOT}/Cityscapes_foggy/leftImg8bit_foggy/train/aachen/aachen_000003_000019_leftImg8bit_foggy_beta_0.01.png,${DATASET_ROOT}/Cityscapes/GT/gtFine/train/aachen/aachen_000003_000019_gtFine_color.png,${DATASET_ROOT}/Cityscapes/GT/gtFine/train/aachen/aachen_000003_000019_gtFine_labelTrainIds.png,${REPO_ROOT}/Datasets/features_train_all/aachen_000003_000019_leftImg8bit_foggy_beta_0.01.pt,50.77998815328909,6.1007674620512455
${DATASET_ROOT}/Cityscapes_foggy/leftImg8bit_foggy/train/aachen/aachen_000003_000019_leftImg8bit_foggy_beta_0.02.png,${DATASET_ROOT}/Cityscapes/GT/gtFine/train/aachen/aachen_000003_000019_gtFine_color.png,${DATASET_ROOT}/Cityscapes/GT/gtFine/train/aachen/aachen_000003_000019_gtFine_labelTrainIds.png,${REPO_ROOT}/Datasets/features_train_all/aachen_000003_000019_leftImg8bit_foggy_beta_0.02.pt,50.77998815328909,6.1007674620512455
${DATASET_ROOT}/Cityscapes_foggy/leftImg8bit_foggy/train/aachen/aachen_000004_000019_leftImg8bit_foggy_beta_0.005.png,${DATASET_ROOT}/Cityscapes/GT/gtFine/train/aachen/aachen_000004_000019_gtFine_color.png,${DATASET_ROOT}/Cityscapes/GT/gtFine/train/aachen/aachen_000004_000019_gtFine_labelTrainIds.png,${REPO_ROOT}/Datasets/features_train_all/aachen_000004_000019_leftImg8bit_foggy_beta_0.005.pt,50.77923679948847,6.098876923790143
${DATASET_ROOT}/Cityscapes_foggy/leftImg8bit_foggy/train/aachen/aachen_000004_000019_leftImg8bit_foggy_beta_0.01.png,${DATASET_ROOT}/Cityscapes/GT/gtFine/train/aachen/aachen_000004_000019_gtFine_color.png,${DATASET_ROOT}/Cityscapes/GT/gtFine/train/aachen/aachen_000004_000019_gtFine_labelTrainIds.png,${REPO_ROOT}/Datasets/features_train_all/aachen_000004_000019_leftImg8bit_foggy_beta_0.01.pt,50.77923679948847,6.098876923790143
${DATASET_ROOT}/Cityscapes_foggy/leftImg8bit_foggy/train/aachen/aachen_000004_000019_leftImg8bit_foggy_beta_0.02.png,${DATASET_ROOT}/Cityscapes/GT/gtFine/train/aachen/aachen_000004_000019_gtFine_color.png,${DATASET_ROOT}/Cityscapes/GT/gtFine/train/aachen/aachen_000004_000019_gtFine_labelTrainIds.png,${REPO_ROOT}/Datasets/features_train_all/aachen_000004_000019_leftImg8bit_foggy_beta_0.02.pt,50.77923679948847,6.098876923790143
${DATASET_ROOT}/Cityscapes_foggy/leftImg8bit_foggy/train/aachen/aachen_000005_000019_leftImg8bit_foggy_beta_0.005.png,${DATASET_ROOT}/Cityscapes/GT/gtFine/train/aachen/aachen_000005_000019_gtFine_color.png,${DATASET_ROOT}/Cityscapes/GT/gtFine/train/aachen/aachen_000005_000019_gtFine_labelTrainIds.png,${REPO_ROOT}/Datasets/features_train_all/aachen_000005_000019_leftImg8bit_foggy_beta_0.005.pt,50.77859625444785,6.095813002903528
${DATASET_ROOT}/Cityscapes_foggy/leftImg8bit_foggy/train/aachen/aachen_000005_000019_leftImg8bit_foggy_beta_0.01.png,${DATASET_ROOT}/Cityscapes/GT/gtFine/train/aachen/aachen_000005_000019_gtFine_color.png,${DATASET_ROOT}/Cityscapes/GT/gtFine/train/aachen/aachen_000005_000019_gtFine_labelTrainIds.png,${REPO_ROOT}/Datasets/features_train_all/aachen_000005_000019_leftImg8bit_foggy_beta_0.01.pt,50.77859625444785,6.095813002903528
${DATASET_ROOT}/Cityscapes_foggy/leftImg8bit_foggy/train/aachen/aachen_000005_000019_leftImg8bit_foggy_beta_0.02.png,${DATASET_ROOT}/Cityscapes/GT/gtFine/train/aachen/aachen_000005_000019_gtFine_color.png,${DATASET_ROOT}/Cityscapes/GT/gtFine/train/aachen/aachen_000005_000019_gtFine_labelTrainIds.png,${REPO_ROOT}/Datasets/features_train_all/aachen_000005_000019_leftImg8bit_foggy_beta_0.02.pt,50.77859625444785,6.095813002903528
